[    2.326357] Interrupt Taken: 	 Vector = 0x0000000F
[    2.326416] Interrupt Served: 	 Vector = 0x0000000F
[    2.330261] Interrupt Taken: 	 Vector = 0x0000000F
[    2.330337] Interrupt Served: 	 Vector = 0x0000000F
[    2.333833] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00034025, pc=0x0800182A 
[    2.334289] Interrupt Taken: 	 Vector = 0x0000000F
[    2.334346] Interrupt Served: 	 Vector = 0x0000000F
[    2.337844] Interrupt Taken: 	 Vector = 0x0000000F
[    2.337933] Interrupt Served: 	 Vector = 0x0000000F
[    2.341391] [passthrough] Write: 	 address = 0x58024400, size = 4 bytes, value = 0x01034025, pc=0x08001830 
[    2.342005] Interrupt Taken: 	 Vector = 0x0000000F
[    2.342046] Interrupt Served: 	 Vector = 0x0000000F
[    2.345480] Interrupt Taken: 	 Vector = 0x0000000F
[    2.345556] Interrupt Served: 	 Vector = 0x0000000F
[    2.349377] Interrupt Taken: 	 Vector = 0x0000000F
[    2.349535] Interrupt Served: 	 Vector = 0x0000000F
[    2.352392] Interrupt Taken: 	 Vector = 0x0000000F
[    2.352494] Interrupt Served: 	 Vector = 0x0000000F
[    2.356067] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x03034025, pc=0x0800183A 
[    2.356596] Interrupt Taken: 	 Vector = 0x0000000F
[    2.356655] Interrupt Served: 	 Vector = 0x0000000F
[    2.360671] Interrupt Taken: 	 Vector = 0x0000000F
[    2.360728] Interrupt Served: 	 Vector = 0x0000000F
[    2.364198] Interrupt Taken: 	 Vector = 0x0000000F
[    2.364268] Interrupt Served: 	 Vector = 0x0000000F
[    2.368091] Interrupt Taken: 	 Vector = 0x0000000F
[    2.368243] Interrupt Served: 	 Vector = 0x0000000F
[    2.371091] Interrupt Taken: 	 Vector = 0x0000000F
[    2.371182] Interrupt Served: 	 Vector = 0x0000000F
[    2.375356] Interrupt Taken: 	 Vector = 0x0000000F
[    2.375426] Interrupt Served: 	 Vector = 0x0000000F
[    2.379372] Interrupt Taken: 	 Vector = 0x0000000F
[    2.379441] Interrupt Served: 	 Vector = 0x0000000F
[    2.383489] [passthrough] Read: 	 address = 0x52002000, size = 4 bytes, value = 0x00000037, pc=0x080019A2 
[    2.384021] Interrupt Taken: 	 Vector = 0x0000000F
[    2.384111] Interrupt Served: 	 Vector = 0x0000000F
[    2.388113] Interrupt Taken: 	 Vector = 0x0000000F
[    2.388192] Interrupt Served: 	 Vector = 0x0000000F
[    2.392209] Interrupt Taken: 	 Vector = 0x0000000F
[    2.392281] Interrupt Served: 	 Vector = 0x0000000F
[    2.396156] Interrupt Taken: 	 Vector = 0x0000000F
[    2.396229] Interrupt Served: 	 Vector = 0x0000000F
[    2.400926] [passthrough] Read: 	 address = 0x58024418, size = 4 bytes, value = 0x00000000, pc=0x08001A56 
[    2.401407] Interrupt Taken: 	 Vector = 0x0000000F
[    2.401466] Interrupt Served: 	 Vector = 0x0000000F
[    2.405189] Interrupt Taken: 	 Vector = 0x0000000F
[    2.405274] Interrupt Served: 	 Vector = 0x0000000F
[    2.408703] [passthrough] Write: 	 address = 0x58024418, size = 4 bytes, value = 0x00000008, pc=0x08001A5E 
[    2.409418] Interrupt Taken: 	 Vector = 0x0000000F
[    2.409528] Interrupt Served: 	 Vector = 0x0000000F
[    2.412392] Interrupt Taken: 	 Vector = 0x0000000F
